,England Imports cif,England Re-exports,England Exports,GB Imports,GB Re-exports,GB Exports,Source
1779,,,,15672,5890,7648,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1780,,,,15770,4785,8814,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1781,,,,17358,3710,7622,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1782,,,,13972,3900,9110,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1783,,,,17417,4327,10710,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1784,,,,20762,3827,11274,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1785,,,,22407,5143,10975,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1786,,,,21744,4476,11830,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1787,,,,24319,4816,12054,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1788,,,,21774,4748,12725,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1789,,,,24372,5561,13780,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1790,,,,26015,5199,14921,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1791,,,,26629,5922,16810,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1792,,,,26454,6568,18337,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1793,,,,26467,6498,13892,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1794,,,,31068,10024,16725,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1795,,,,32002,10785,16527,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1796,,,,31173,11417,19102,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1797,,,,29053,12014,16903,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1798,,,,39925,13919,19673,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1799,,,,37384,11907,24084,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1800,,,,42347,18848,24304,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
