reporting,partner,partner type,year,import,export,total,currency,source
UnitedKingdom,WorldFedericoTena,,1817,51932603.1527837,42647992.3730129,94580595.52579659,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldestimated,,1817,50900000,41800000,92700000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1817,61000000,,61000000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1817,50900000,41800000,92700000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,WorldFedericoTena,,1818,69276015.1255965,47095536.5985415,116371551.72413799,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldestimated,,1818,68400000,46500000,114900000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1818,80700000,,80700000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1818,68400000,46500000,114900000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,WorldFedericoTena,,1819,46259240.3590054,35552953.2890172,81812193.64802259,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldestimated,,1819,45800000,35200000,81000000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1819,56000000,,56000000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1819,45800000,35200000,81000000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,WorldFedericoTena,,1820,44083693.9102564,36635763.8888889,80719457.79914531,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldestimated,,1820,43800000,36400000,80200000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1820,54200000,,54200000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1820,43800000,36400000,80200000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,WorldFedericoTena,,1821,36366289.8338732,36970715.7036882,73337005.53756139,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldestimated,,1821,36100000,36700000,72800000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1821,45600000,,45600000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1821,36100000,36700000,72800000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,WorldFedericoTena,,1822,37227037.3531683,37429358.2083486,74656395.56151691,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldestimated,,1822,36800000,37000000,73800000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1822,44600000,,44600000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1822,36800000,37000000,73800000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,WorldFedericoTena,,1823,45011011.0948294,35566736.4454679,80577747.5402973,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldestimated,,1823,44800000,35400000,80200000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1823,52000000,,52000000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
