SHIP_NAME	CAPTAIN_NAME	CAPTOR_NAME	TONNAGE	CREW_SIZE	DAY_CAPTURE	MNTH_CAPTURE	YEAR_CAPTURE	HCA
SANS CULOTTE	LE FREYTE	SCOURGE	280	81	16	4	93	HCA34-61
SANS CULOTTE	LONG	ROSE CUTTER	290	34	23	8	93	HCA34-61
SANS CULOTTE	TAHE	NYMPH FRIGATE	100	54	1	8	93	HCA34-61
SANS DUARTIER	LEHAPPY	DANCE	400	59	17	5	99	HCA34-63
SANS PAREIL	COURAND	HOWES FLEET	298	14	15	7	94	HCA34-61
SANS PAREIL	DOREZ	FERRIER BRIG	290	21	19	6	98	HCA34-62
SANS PAREIL	LABORDE	BRILLIANT PR	100	0	4	9	93	HCA34-61
SANS PEUR	BAUDET	SYREN	110	18	17	3	97	HCA34-62
SANS PEUR	CHAUMONT	ALLIGATOR	80	38	16	4	93	HCA34-61
SANS PEUR	EUDES	SPIDER	280	22	6	3	93	HCA32-832
SANS SOUCI	GAYOZOT	TELEMACHUS CR	280	27	19	6	98	HCA34-62
SANTA ANNA	DROUART	EAGLE PRIVATEER	140	0	21	3	98	HCA34-62
SANTA ISABEL	GOUTABEVIA	LORD ST VINCENT	100	24	4	7	0	HCA34-63
SCIPION	BERRINGER	STRACHANS SQ	287	0	4	11	95	HCA34-60
SCIPION FRANCAIS	DUPUY	ENDYMION	291	40	13	6	0	HCA34-63
SEPT FRERES	FERAY	ARROW	290	0	8	6	97	HCA32-845
SIMON	BOULANGER	ALCMENE	280	0	10	13	0	HCA34-63
SIRENE	MOULANGER	NAUTILUS	130	29	7	9	97	HCA34-62
SOCIETE PATRIOTE	PICARD	AMELIA	580	0	7	4	98	HCA34-62
SOLIDE MICHEL	JEFFIN	BADGER GUN BOAT	290	0	12	11	97	HCA32-846-1
SOPHIE	ACHEVIS	CRESCENT FR	400	0	4	3	93	HCA34-61
SOPHIE	MARIAN	KANGAROO	490	40	15	5	97	HCA34-62
SOPHIE	O	ROYALIST LR	140	0	19	1	97	HCA32-844-2
SOPHIE	REANT	ENDYMION	281	9	2	10	98	HCA34-62
SOPHIE	ROGERIE	TELEMACHUS CR	290	20	19	6	98	HCA34-62
SOPHIE	THIERY	TELEMACHUS	290	0	19	3	98	HCA32-847
SOUFFLEUR	QUOINAM	CHAMELION	290	12	19	6	98	HCA34-62
SPHINX	LALLEMAND	EURIDICE	90	26	23	2	97	HCA34-62
ST ANDRE	JUBEL	SEA FLOWER BRIG	280	0	21	1	97	HCA34-62
ST BERNARD	ROQUILLET	STAG	140	0	20	11	93	HCA34-61
ST CHRISTOPHE	TOUFFET	BRILLIANT	110	0	13	11	93	HCA34-61
ST CLAUDE	JUHEL	ALLIGATOR CR	140	0	3	2	94	HCA34-61
ST CORNEILLE	ROUSSEL	ALLIGATOR CR	320	0	21	1	94	HCA34-61
ST FRANCOIS	LUERNEAU	ANSON	280	0	27	2	0	HCA34-63
ST JACQUES	DELAMARE	DIANA	290	0	7	6	97	HCA32-845
ST JACQUES	DRAIN	AGENORIA	110	0	16	8	93	HCA34-61
ST JACQUES	LOUBARD	TRITON	280	16	6	11	99	HCA34-63
ST JEAN	TOURMENTE	SPITFIRE	280	0	16	4	93	HCA34-61
ST JEAN BAPTISTE	AUTRAN	COURAGEUX	160	0	6	8	94	HCA32-839
ST JEAN BAPTISTE	BUCHERON	VULTURE DR	140	0	21	6	97	HCA34-62
ST JEAN BAPTISTE	ROLLAND	DOLLY CUTTER	100	0	15	9	97	HCA34-62
ST JEAN BONAVENTURE	PHILIE	BRILLIANT	290	0	6	1	94	HCA32-837
ST JEAN DE LONE	VOISIN	SURPRISE	200	0	12	12	93	HCA34-60
ST JEAN MARIE	EVENO	DOLPHIN LUGGER	140	0	16	8	93	HCA34-61
ST JOSEPH	GUILLOT	CLYDE	280	0	24	5	99	HCA34-63
ST JOSEPH	JARIS	MAYFLOWER	570	0	22	11	99	HCA34-63
ST MATHIEU	PERVIAN	TOWNSEND	140	0	25	7	99	HCA34-63
ST MICHEL	MILLOT	ALLIGATOR	140	0	21	1	94	HCA34-61
ST PIERRE	CIRE	BRILLIANT	290	0	13	6	93	HCA32-837
ST PIERRE	DUMONTIER	BRILLIANT	110	0	13	11	93	HCA34-61
ST PIERRE	GUITTOT	O	140	0	6	7	92	HCA32-835
ST PIERRE	PERISSOT	JUNO	160	0	30	4	93	HCA32-838
ST PIERRE	VICQUELIN	FEY CUTTER	290	0	20	10	97	HCA34-62
ST RENE	BRIAND	VULTURE PR	140	0	6	10	97	HCA32-846-1
ST RENE	MEURLAY	SYLPH SLOOP	100	0	17	7	97	HCA32-846-2
ST ROMAIN	DUVAL	DUDGEON	190	0	23	5	93	HCA34-61
ST VINCENT	LE PORT	PETTER	290	0	4	11	95	HCA34-61
STE ANNE	LE BRAS	CHARLOTTE	140	0	15	5	93	HCA34-61
SUBTIL	SAVAGE	HELENA	90	21	14	10	96	HCA34-61
SUCCES	BELLIARD	CLYDE FRIGATE	280	56	27	1	98	HCA34-62
SUCCES	DERVAUX	TELEMACHUS CR	290	40	31	7	97	HCA34-62
SUCCES	ECOLIER	ST FIORENZO	280	27	13	2	99	HCA34-63
SUCCES	MATHIEU	ATALANTE	90	47	28	1	0	HCA34-63
SUFFISANTE	NORTEN	MARS	200	0	2	10	95	HCA34-61
