SHIPNAME	GETM	CAPTAINNAME	OWNER	PORT	TONNAGE	CANONS	CARRON	SWIVEL	CREW	CAPTURED/NOT	UNDOC_1	CRUISEYEAR	UNDOC_2	CONSTRUCTION_YEAR
DUC DE DALMATIE		FLOUEST		DUN								1810		
DUC DE DALMATIE			CULIE PERE ET FILS	CAL		7			58			1811		
DUC DE DALMATIE			CULIE PERE ET FILS	CAL		7			58			1812		
DUC DE DANZIG		DUCHESNE JEAN	GASSER TIESSET	BOU		14			39			1807	1	1807
DUC DE DANZIG		DUCHESNE JEAN	GASSER TIESSET	BOU		14			39			1808		1807
DUC DE DANZIG		AREGNAUDEAU	BERTRAND FEYDEAU	NAN	191	14			103		1	1810		
DUC DE REGGIO		COULON JACQ	ROUZE EMMANUEL	AMS	16			4	28			1810		
DUC DE TARENTE		DUBAN JEAN	HALLY CAPTAIN	HAV	8				20			1813		1813
DUGUAY TROUIN		LEGUE NIC	GUILLEMENT BODINIE	STM	500	24			224		1	1793		
DUGUAY TROUIN		DUTACHE	DESSAUX ET CIE	NAN	150	20			127	T		1797		
DUGUAY TROUIN		LEGUE NIC	GUILLEMENT	STM	500	24			172	T	1	1798		
DUGUAY TROUIN			THOMAS AINE	STM								1805		
DUGUAY TROUIN		TRAVERS	RION KHALET NEG	BRE	163	14			54			1808	2	
DUGUAY TROUIN		TRAVERS	RION KHALET	BRE	163	14			54			1809		
DUGUAY TROUIN		TRAVERS	RION KHALET	BRE	163	14			54			1810		
DUGUAY TROVIN INDIAM		AN NAVAL SERV	GUILLEMENT	STM	800	34			500	T		1794		
DUMOURIEZ		RAVIZY JN		DUN	10				10			1793		
DUNKERQUOIS		LEMOINE CHAS	LE MAIRE	DUN								1807	1	
DUNKERQUOIS		LEMOINE CHAS	LE MAIRE	DUN						W		1808		
DUNKERQUOIS		JACOB JULES	LE MAIRE ET EMMERY	AM	S							1809	1	
DUNKERQUOIS		JACOB JULES	LE MAIRE ET EMMERY	AMS								1810		
DUNQUERQUOIS		DENIS	AGET	LOR	120	16			104		1	1797		1778
EAGLE		HARISMENDY FR	CONTE	BOR	60	12			62	T		1797		
ECLAIR		DUGUETZ PRE	CONTE JACQ	BOR					120	T		1797		
ECLAIR		PICORY	LABORDE	LOR	140	14			105	T		1797		
ECLAIR		DEVILLE ANT		DUN		2			20			1799		
ECLAIR PRIZE		LE TERRIER JACQ	LIAIS VVE ET FILS	CHE		3					1	1800		
ECLAIR PRIZE		LE TERRIER JACQ	LIAIS VVE ET FILS	CHE		3						1801		
ECUMEU2				DAN								1811		
ECUREUIL		COR BLAISE	SIMON JEAN NEG	LAS					45		1	1810	3	
ECUREUIL				GEN		1		2	24			1811		
ECUREUIL		COR BLAISE	SIMON JEAN NEG	LAS					45		1	1811		
ECUREUIL		COR BLAISE	SIMON JEAN NEG	LAS					45		1	1812		
ECUREUIL		COR BLAISE	SIMON JEAN NEG	LAS					45		1	1813		
EDOUARD		MOREAU	LEVESQUE LOUIS	NAN		6	8		58	T	1	1810		
EDOUARD			JOUBERT TAMA	MAR	192	2			132	T		1811		1810
EDOUARD		DIDABOURE	SURCOUF ROBERT	STM	50	6			22			1811	2	1811
EDOUARD		LONGRAIRE	SURCOUF ROBERT	STM	50	6			37			1811	1	
EDOUARD		DIDABOURE	SURCOUF ROBERT	STM	50	6			22			1812		
EDOUARD		LONGRAIRE	SURCOUF ROBERT	STM	50	6			37			1812		
EDOUARD		DIDABOURE	SURCOUF ROBERT	STM	50	6			22	T		1813		1811
EGALITE		CHEVALIER	PONTEVE ETCIEROUEN	STM	60	8			48	T	1	1793		
EGALITE		HARTEL		DUN								1793		
EGALITE		HORNAY PRE	TRUDIN FRANC	BOU	20							1793		
EGALITE		DOYEN ALEX	MACHOIR NEG	HAV							1	1799		
EGLE		BLONDIN	GRIMONPRE	BOU					50			1805		
EGLE		HENIN THOMAS	DELAUNAY NARCISSE	DIE					11		1	1805		
EGLE			DELAUNAY NARCISSE	CAL							1	1806		
EGLE			DELPORTE FRERES	CAL								1806		
EGLE			DELAUNAY NARCISSE	OST								1807		
EGLE		COUTEUX	FROY	OST	58	16			81			1807	1	1804
EGLE		OLIVIER BEN		DUN								1807	1	
EGLE		COUTEUX	FROY	OST	58	16			81	T		1808		1804
EGLE		OLIVIER BEN		DUN								1808		
EGYPTIEN		MOSQUERON LS	MOSQUERON GUILL	CHE	74	14						1799		
ELEONORE		DUTERTRE FRAN	BECQUET	CAL	32	8			31			1795		
ELEONORE		DUTERTRE FRAN	BECQUET	CAL	32	8			31	T		1796		
ELEONORE				BIN							1	1809	2	
ELEONORE				BIN								1810		
ELEONORE			SAULNIER TOUIN	NAN								1810		
ELEONORE				LOR		14			69			1811		
ELEONORE				BIN								1811		
ELISA			JOLY MME	STV								1811	1	
ELISA			DUMARNAY	QUI								1813		
ELISE				DAN								1811		
ELIZA		LE GUE B	GODEFROY	STM	70	14			66	T		1806		1806
ELIZA	G ET M		BIZARD CADOYE	BOR		4		2	14			1808		
ELIZA			JOLY MME	STV								1812		
ELIZABETH		MARTIN LS	MARTIN LS	HON	40			6	29	T		1793		1792
ELIZABETH			COSSIN FELIX	NAN								1801		
EMBUSCADE			PIMORE	GRA								1807		
EMBUSCADE			QUENOUILLE AINE	DIE								1808	3	
EMBUSCADE		LE DUC		DIE								1808	3	
EMBUSCADE			DUCLOS HERVIN	CHE	7			2	21			1809		
EMBUSCADE			LE ROND CAMPION	GRA					14		1	1809	1	
EMBUSCADE			QUENOVILLE AINE	DIE								1809		
EMBUSCADE		LE DUC		DIE								1809		
EMBUSCADE			LE ROND CAMPION	GRA					14		1	1810		
EMBUSCADE			QUENOVILLE AINE	DIE								1810		
EMBUSCADE		LE DUC		DIE								1810		
EMBUSCADE			QUENOVILLE AINE	DIE								1811		
EMBUSCADE		LE DUC		DIE								1811		
EMBUSCADE			DESPREAUX	CHE								1813		
EMILE		COLLOS	RAGOULT	FEC	51	14			42	T		1813		
EMILIE		BONAMY EUSTACE	LEFEUVE NEG	LOR	227	18			99	T		1798		
EMILIE				CON		4			14			1811		
EMILIE	G ET M		GRAFFIN BOUSQUET	ROC		8			54					
EMOUCHET		LETOURNEUR FR	OLIVIER MICHEL	DIE	40	14			55	T		1797		1797
EMPRUNT FORCE		CANU JN	HURTIN LAFUTTE ROU	MOR		14		4	16			1797		1797
EMPRUNT FORCE		CANU JN	HURTIN LAFUTTE ROU	MOR		14		4	16	T		1798		
ENFANT DE LA PATRIE		CHAPI	MAUNIER FRERES	MAR	52	2						1793		1788
ENFANT DE LA PATRIE		SAUVAGE ANT	LAFONTAINE	BOU	15	6			25	T	1	1793		1793
ENFANT DU CARNAVAL			CHEGARAY MIJONNET	LAR						T		1800		
ENFLAMME		GEORGES		DUN					15			1797		
ENJOLEUR			DELPORTE FRERES	BOU	30				40		1	1797		
ENJOLEUR		FOURMENTIN		DUN								1798		
ENJOLEUR		LEFEVRE	DELPORTE FRERES	BOU	30				39		1	1798		
ENJOLEUR			DELPORTE FRERES	BOU	30				40		1	1799		
ENJOLEUR			DELPORTE FRERES	BOU	30				40		1	1800		
ENJOLEUR		LE VILLAIN BEN	DELPORTE FRERES	BOU	30				40		1	1801		
ENTENDU		MATAAU PRE							23			1800		
ENTREPRENANT		VANNIERE MICH	TANEY	HAV	38	4		4	28	T		1793		
ENTREPRENANT		BENARD JN	KANGUIN BERN	BRE	107	8						1797		
ENTREPRENANT		MAHE JEAN	KERANGUE VVE BERN	PAI	21	1			18	T		1797		
ENTREPRENANT		BENARD JN	KANGUIN BERN	BRE	107	8						1798		
ENTREPRENANT		DELOUART DOM	BASTERRECHE FRS	STJ	9				17			1798		
ENTREPRENANT		GAUDIN J		DUN								1799		
ENTREPRENANT		JOLLY		DUN								1800		
ENTREPRENANT		BLONDIN	LUNEL ET CIE	BOU	52	16			52	T		1807		1807
ENTREPRENANT			QUENOUILLE	DIE								1809	1	
ENTREPRENANT		BOILAY PHIL		DIE								1809	1	
ENTREPRENANT		DERVIENT FRAN	LARROULET	STJ	9			4	23			1809	1	1808
ENTREPRENANT				BRE								1810		
ENTREPRENANT			QUENOVILLE	DIE								1810		
ENTREPRENANT		BOILAY PHIL		DIE								1810		
ENTREPRENANT		DERVIENT FRAN	LAROULLET	STJ	9			4	23			1810		1808
ENTREPRENANT		BUTTEZ MARC	GRISET JEAN	BOU	10				38		1	1811		
ENTREPRENANT PRIZE			BLACK ALEX	DIE	28			4	16			1797		1793
ENTREPRISE		VALENCE JER	DUFOURCQ ET FILS	BAY	30	2			51			1795		
ENTREPRISE		BUJON	DERRIEN	BRE	15	1	4		17	T		1796		
ENTREPRISE		EUSTACHE JOSEPH	EUSTACHE SALMANDIE	HAV	35	4			25	T		1796		1792
ENTREPRISE		LAURIOL THOS	LAURIOL LE MOINE	STM	11	1		4	27	T		1796		1796
ENTREPRISE		VALENCE JER	DUFOURCQ ET FILS	BAY	30	2			51			1796		
ENTREPRISE		MORIN	GAUDIN FILS	CRO		6			46		1	1797		
EOLE		BERQUEZ LOUIS	BOULON ET EMMERY	DUN	31	5			26			1809	1	
EOLE		CROUTAZ	BENET XAVIER	MAR						T	1	1809		
EOLE		BERQUEZ LOUIS	BOULON ET EMMERY	DUN	31	5		0	26			1810		
EOLE		DUBOST		DUN	39	14			32			1812		
EPERVIER		LAXAGUE E	PUCHARD JN ET CIE	BAY	70				70			1793		
EPERVIER		LE MASSON	DESCORBIERES DUB	STM	9	1		4	16	T		1793		
EPERVIER		SAUSTED CHAS		DUN	18	6			24			1793		
EPERVIER		BARCELO FRAN		DUN				1	11			1795		
EPERVIER				DUN		2			18			1796		
EPERVIER		VALOT FRAN	DUVAL LANTRAN	HAV	12	2			26	T		1796		1796
EPERVIER		DANET JN	BELLY ET LEFORT	BOR	120	18			120	T		1797		
EPERVIER		HAMMON GEO	DAUCHY	DUN	12	2		2	22			1797		
EPERVIER		KPOISSON PRE	NICOL AINE	PAI	27	4		6	30	T		1797		
EPERVIER		TIERCE	RICHER	CHE						T		1797		
EPERVIER		FIEVE		DUN	12	2		2	19			1798		
EPERVIER		HAMMON GEO	DAUCHY	DUN	12			2	22			1798		
EPERVIER		LAUZUC	JOANHAU ET PELLOT	BAY	20			6	29			1798		
EPERVIER			VAUVERT JEUNE NEG	CHE	17	2			20	T		1799		
EPERVIER		HAMMON GEO	DAUCHY	DUN	12			2	22	T		1799		
EPERVIER		LAUZUC	JOANHAU ET PELLOT	BAY	20			6	29			1799		
EPERVIER			BRUN	TOU	19	3			46			1803		1792
EPERVIER		BOURNEAUX	LE PELLEY PERRUCH	DIE	50	16			34		1	1810		1808
EPERVIER			LE PELEY OF PARIS	CHE								1811	1	
EPERVIER		BONOMY CONST	BLANQUET DESLANDES	DIE	50	16			55			1811		1808
EPERVIER			LE PELY OF PARIS	CHE								1812		
ERINGOBRAK		HONEYWELL JESSE	HALEY NATHAN	DIE	70	10			44	T		1798		
ESCAMOTEUR		AUCOIN FIRMIN	HARELLE MOLEUX CR	BOU								1798		
ESCAMOTEUR		FRESSON JN	MOLEUX CROUY	BOU		10			50		1	1799		
ESCAMOTEUR		FRESSON JN	MOLEUX CROUY	BOU		10			50		1	1800		
ESPADON		BALLIDAR	SAULNIER	STB							1	1811		
ESPERANCE		ALLONEAUX	COSSIN FELIX	NAN	200	12		8	67	T	1	1793		
ESPERANCE		CASTELEYN CHAS		DUN	4				17			1793		
ESPERANCE		SAILLE JN	CHEVALIER NEG	DUN	59	14			52	T		1796		1796
ESPERANCE			BRUANT AINE	NAN								1797		
ESPERANCE		BASSET ALEXIS	FONTAN ET THOMAS	STM	22	2		2	20	T		1797		1788
ESPERANCE		CAPEL FILS	SAINTON	STM	22	2			22			1797		1788
ESPERANCE		LAUTONNE FRAN	HOREAU VICTOR	DUN	20			3	29	T		1797		1797
ESPERANCE		ESCALIER BERN	BOULABERT FILS AIN	CHE	11			2	15			1799		1798
ESPERANCE		LAURENT GUILL	PECHE FRS GRAILIER	BAY	30	6			36	T		1799		
ESPERANCE		ESCALIER BERN	BOULABERT FILS AIN	CHE	11			2	15			1800		1798
ESPERANCE		MARTIN JACQ	POLLON	MAR	68						1	1803		
ESPERANCE		FANQUENAUX	TIXIER	HAV	67	16			61			1807		
ESPERANCE		CHAVET ANDRE	TIXIER	DIE	67	16			61			1808	1	
ESPERANCE		LEDRU LOUIS	DAMIEN	STV	57	13			52			1808	1	1808
ESPERANCE		SAGUENET ANDRE	DELORME VILLEDAULE	STM	25	2			28			1808		1808
ESPERANCE		CHAVET ANDRE	TIXIER	DIE	67	16			61			1809		
ESPERANCE		LEDRU LOUIS	DAMIEN	STV	57	13			52			1809		1808
ESPERANCE	G ET M		DESPLACE JANAVIT	ROC		2			12			1809		
ESPERANCE		LE MAITRE	TIXIER	HAV	67	16			61			1810		
ESPERANCE		ESCASSY	HEILMAN	SMA							1	1811		
ESPERANCE PRIZE		VALENCE JER	PECHE	BAY	20	4			22			1812	1	
ESPERANCE PRIZE		VALENCE JER	PECHE	BAY	20	4			22			1813		
ESPIEGLE		DREAU	GALABERT ET HERVEL	LOR	35	4			31	T		1797		
ESPIEGLE		KENNELL J	GARESCHE DAN	LAR	120	12		8	54	T		1797		
ESPIEGLE		TOURNAUX FRAN	MARTIN	CAL	19			1	30	T		1797		
ESPIEGLE		DUCHENNE JN	TIESSET FILS	BOU								1798		
ESPIEGLE			TIESSET FILS	BOU								1799		
ESPIEGLE		HURET JN	DELPORTE FRERES	BOU					34			1799		
ESPIEGLE			TIESSET FILS	BOU								1800		
ESPIEGLE		HURET JN	DELPORTE FRERES	BOU					34			1800		
ESPIEGLE		CAVALIER	QUENOUILLE AINE	DIE	66	4			45	T		1808		
ESPION		CLERY LS		DUN		4			21			1799		
ESPION		OLLIVIER CHAS		DUN				2	9			1799		
ESPOIR		HARDOUIN PRE	MENNEVILLE	BOU	40			8				1793		
ESPOIR		LE ROUX	RICORDEL CLAIR	NAN	300	12		2	125	T		1793		
ESPOIR				BOU								1794		
ESPOIR		DELATTRE FRAN	PODEVIN ET CIE	BOU	12			2	18	T		1796		
ESPOIR		DUCHESNE	FONTAINE LS	BOU				2	17			1796		
ESPOIR		CODEVIN PRE	DUCROCQ	DUN	10			2	16	T		1797		
ESPOIR		DESPEREUX B	RATEAU NEG	LAR	20	2		4	39			1797		
ESPOIR		VANDEWALLE J	FONTAINE LS	BOU				2	17			1797		
ESPOIR		DESPEREUX B	RATEAU NEG	LAR	20	2		4	39	T		1798		
ESPOIR		FAULET PRE	SAUVINEZ VVE ETFIL	SNT	22	1		4	28			1798		1798
ESPOIR		NEEL GUILL	BERNARD JNE DUBOIS	QUI	68	4	1		36			1798		
ESPOIR		FAULET PRE	SAUVINEZ VVE ETFIL	SNT	22	1		4	28			1799		1798
ESPOIR		NEEL GUILL	BERNARD JNE DUBOIS	VIG	68	4	1		36			1800		
ESPOIR		THOMAS YVON		BRE								1800		
ESPOIR		BASSET JEAN	FICHET JOS	STM	50	14			66	T	1	1801		1800
ESPOIR		FLOUEST	RIGOULT	STV								1805		
ESPOIR		COLLOT	RIGOULT	FEC		14			59		1	1806	4	
ESPOIR		COLLOT	RIGOULT	FEC		14			59		1	1807		
ESPOIR		COLLOT	RIGOULT	FEC		14			59		1	1808		
ESPOIR	G ET M		CRESPIN	ROC		8			28			1808		
ESPOIR		COLLOT	RIGOULT	FEC		14			59		1	1809		
ESPOIR		COLLOT	RIGOULT	FEC		14			59		1	1810		
ESPOIR			RIGOULT	STV		14			59		1	1811		
ETOILE		ALTAZIN		DUN								1807		
ETOILE		FOURMENTIN	MERLIN DUBROEUIL	DIE							1	1806		
ETOILE		EUGER	BARBOT JEAN	NAN	70	12			89			1797		
ETOILE		EUGER	BARBOT JEAN	NAN	70	12			89			1798		
ETOILE		FOURMENTIN	MERLIN DUBROEUIL	DIE							1	1805	1	
ETOILE		MORDEILLE	BENET XAVIER	MAR							1	1805		
ETOILE		ALTAZIN		DUN								1806	1	
ETOILE		FOURMENTIN	MERLIN DUBROEUIL	HAV						L	1	1807		
ETOILE DE BONAPARTE		THISSERE	OLMETTA	TRE							1	1807		
ETOILE NO TWO		DELPIERRE	DELPORTE FR MERLIN	BOU	59	14			61			1810		1809
ETOILE NO TWO		DELPIERRE	DELPORTE FR MERLIN	BOU	59	14			61			1811		1809
ETOILE NO TWO		DELPIERRE	DELPORTE FR MERLIN	BOU	59	14			61			1809	2	1809
ETOURDI		JANSSEN CORNIL		DUN		4			15			1798		
ETOURDIS		BOURBEAU FRAN	DESSANDRAIE LEBOUR	HAV	25	5		6	23	T		1797		1796
EUGENE	G ET M		RONDEAU ROBLET	BOR		12			66			1809		
EUGENIE		DUPUY		NAN								1793		
EUGENIE			COSSIN FELIX ET CO	NAN	250	20			75			1795		
EUGENIE			COSSIN FELIX ET CO	NAN	250	20			75			1796		
EUGENIE			COSSIN FELIX ET CO	NAN	250	20			75			1797		
EUGENIE		HERAND JACQ							107			1797		
EUGENIE		HERAND JACQ							107	T		1798		
EUPHROSINE		HONDARRAGUE	DELVEILLE	STJ			1	2	23			1813		1810
EUPHROSINE		HONDARRAGUE	DELVEILLE	STJ			1	2	23			1812	1	1810
EVE		PELLOT	BASTERRECHE FRERES	BAY	165	14			110			1807		1804
EVEILLE		RAYMON HENRI	COWELL WM	BRE	60				87	T	1	1796		
EXPEDITIF		GUITTON	POLAN OF NICE NEG	BAR							1	1811		
EXPEDITION PRIZE		DUJARDIN	GUIBERT FLS FICHET	STM	30	4			24			1798		
FABRIUS		DUPUIS MATH	GUERTIN ET CIE	NAN	400	20		4	140	T		1797		
FANNY		HAMON	HAMOT ST LEGER	NAN	153	8	8			T		1808		
FANTAISIE		BOURGE GERMAIN	PAGELET	STM	21		1	2	28			1803		
FANTOME				STM								1809		
FASTES DE NAPOLEON				LEG		10			19			1811		
FAUCON		GARRON JN	GAFOUT JACQ	BAY	23	1		6	21			1799		
FAUNE				LOR								1797		
FAUNE		LE BOZEC	DUGRAY LARRAUT FLS	LOR								1798		
FAUTAISIE		BONVARLET		DUN	38	2			29			1793		
FAUTAISIE		LECLERC JACQ	DEGRAVIEU VERGUERE	DUN	65	6		6	36	T	1	1793		1791
FAUTAISIE		MARBAISSE PRE		DUN					32			1796		
FAUTAISIE		SEPTAM ANSELM	LATIMIER DUCLENIEU	BRE	150				60	T	1	1796		
FAUTAISIE		CARDON FRAN	REANT DEVRIES	DUN	75	14			33	T		1799		
FAVORI		BOUTRUCHE	ROGER ROBERT	STM	90	14			69	T		1806		1806
FAVORI		GAIBISSO J	DESVERGUES	SLA							1	1812		
FAVORITE		LE GUE GUY	DUCHENE PINTEDEVIN	STM	97	8			60	T		1797		1778
FEBRONIE		BOULET PRE	FLEURIAN JARNOUT	NAN	140	12			87			1797		
FEBRONIE		BOULET PRE	FLEURIAN JARNOUT	NAN	140	12			87			1798		
FELICITE			COSSIN	NAN	120	12			110		1	1797		
FELICITE		PODESTA FELIX	GHIRALDI GAB	AJA							1	1801		
FELICITE			BOULABERT JEAN	CHE	25				25	T		1803		
FELIX		VIAUD ANDRE	SAVARY	NAN								1798		
FELIX		MARINE G	CHEGARAY GARESCHE	LAR	110	6			69	T		1803		
FELIX PRIZE		DEMONVILLE	GIBERT ANT	CHE	1				13			1808		
FIGARO		DEMAY JEAN	DELPORTE FRS DUPON	BOU	55	16			60			1809		1808
FIGARO		DEMAY JEAN	DELPORTE FRS DUPON	BOU	55	16			60			1810		1808
FIGARO		DEMAY JEAN	DELPORTE FRS DUPON	BOU	55	16			60	T		1811		1808
FIGARO		GAILLARD	DELAMERE FRERES	NAN							1	1797		
FIGARO		DEMAY JEAN	DELPORTE FRS DUPON	BOU	55	16			60			1808	3	1808
FILIBUSTIER				TOU								1806		
FIN MATOIS			GASSER TIESSET	BOU								1809		
FIN MATOIS			GASSER TIESSET	AMS								1810		
FINE		ZEPERT	MARTIN FILS	STM	10			4	18	T		1796		
FLIBUSTIER			FOUBE	CAL		16			58			1810		
FLIBUSTIER			FOUBE	CAL		16			58			1811		
FLIBUSTIER		NOEL MARC		CAL								1793		
FLIBUSTIER		LECLERC JACQ		DUN		2			18			1796		
FLIBUSTIER		MARBAISSE PRE	DAUCHY	DUN	58	14			63			1796		
FLIBUSTIER		CAPEL	FANTAN GAUTIER	STM	50	8			60	T		1797		
FLIBUSTIER		MARBAISSE PRE	DAUCHY	DUN	58	14			63	T		1797		
FLIBUSTIER		PELLOT ET	CONTE JACQ	STJ	30	4		6	32	T		1797		
FLIBUSTIER		CANY BEN	DAUCHY	OST	50	14			50			1799		
FLIBUSTIER		CANY BEN	DAUCHY	OST	50	14			50	T		1800		
FLIBUSTIER		DELARGERE CHAS	BERNARD	DUN	20				16			1800		
FLIBUSTIER		DELARGERE CHAS	BERNARD	DUN	20				16	T		1801		
FLIBUSTIER		ENSELMAN		DUN		1			19			1801		
FLIBUSTIER			MASSE EHRMAN ALLIE	LEG								1803		
FLIBUSTIER		GILLIE JEAN	MOREL RENE ET CIE	BOU	8	4			16			1807		
FLIBUSTIER			FOUBE	CAL		16			58			1809	2	
FLIBUSTIER		CARRACCIOLA C	MATERON	TAR							1	1811		
FLORE		BEDOUT JACQ	GRAMON OF BORDEAUX	BRE	400	26						1798		
FLORE		NAPIAS ANT	LEFEBURE	BOR	300	30			240	T		1798		
FOREST NOIR			CORRAERD	MAR	20							1793		
FORTNUNEE			FOUBE ET CHOISNARD	CAL						L		1811		
FORTUNE		LEFEBVRE JEAN	VERSIAL	OST						T		1809		
FORTUNE		CHABAUT JACQ	LE NORMAND	DIE								1810		
FORTUNE		BARTHOLAMY	ROUX ET CIE NEG	COR							1	1810		
FORTUNE		BARTHOLAMY	ROUX ET CIE NEG	COR							1	1811		
FORTUNE			DELPORTE FRERES	BOU	5							1793		
FORTUNE		LACAVE ET	SAUVINET	BAY	50	8			41			1797		
FORTUNE		LUGEOL FR	PERRONNE HEURISSOY	LAR	90	14			68			1797		
FORTUNE		BAILLY		BAY					51			1798		
FORTUNE		LACAVE ET	SAUVINET	BAY	50	8			41			1798		
FORTUNE		LAURENT		BAY					15			1798		
FORTUNE		MARTIN		BAY					99			1798		
FORTUNE		CORENWYNDER		DUN								1799		
FORTUNE		CORENWYNDER		DUN								1800		
FORTUNE		CORENWYNDER		DUN								1801		
FORTUNE		LEFEBVRE JEAN	VERSIAL	OST								1808	1	
FORTUNE		BARTHOLAMY	ROUX ET CIE NEG	COR							1	1809	2	
FORTUNE		CHABAUT JACQ	LE NORMAND	DIE								1809	1	
FORTUNE	G ET M	TERRAGNO	DEGERIN	DUN	32	2	2		14	T		1809		
FORTUNE		SOUBITEZ		DUN	12	1			14			1810		
FORTUNE				MAR		3			40			1811		
FORTUNE		BOONE		DUN	12	1			14			1812		
FORTUNE			ROUX ET CIE NEG	COR								1813		
FORTUNE OF BORDEAUX		DARRIBEAU LEON	MAZOIS OF BORDEAUX	BAY	430	22			74			1799		
FORTUNE OF BORDEAUX		DARRIBEAU LEON	MAZOIS OF BORDEAUX	BAY	430	22			74	T	1	1800		
FORTUNEE			FOUBE ET CHOISNARD	CAL								1810	1	
FOUDRE			BEAUSSIER	MAR							1	1810		
FOUDROYANT		DAUGATZ PRE	IZARD ET GERUS	BOR	160	20			124			1799		
FOUGEUX		MORDEILLE JN	BENET XAVIER	MAR							1	1804		
FOURNI			DUJAT WALLET	BOU	5				22			1810		1810
FOURNI				GEN								1811		
FRANCAIS			METOIS LE CHANTRE	NAN								1797		
FRANCOIS		DELPIERRE FRANC	AUDIBERT AINE MOL	BOU	56	2			56	T		1809		
FRANCOIS		DELPIERRE FRANC	AUDIBERT AINE MOL	BOU	56	2			56			1808	1	
FRANKLIN		DENJON FRAN	BERTRAND	STM	100	12		2	51	T		1793		
FRANKLIN		BILLER BAZIL	GRENOILLEAU	BRE	200	16			130	T		1796		
FRANKLIN				GEN		4			60			1811		
FREDER QUE		MOLLIE	SCHWEIGHAUSER DOB			14			37	T		1809		
FREDERIC		JAMAIS FRANC		DUN					17			1793		
FREDERIQUE		MOLLIE	SCHWEIGHAUSER DOB	NAN		14			37			1808	1	
FRERES UNIS		PLAIDEAU	MONNERON	BOR	120	8			133	T		1804		
FRERES UNIS		PLAIDEAU	MONNERON	BOR	120	8			133	T		1805		
FRERES UNIS		PLAIDEAU	MONNERON	BOR	120	8			133	T		1803	2	
FRIEDLAND		BEENS FRANCOIS	KINDT PHILIPPE	DUN	86	4			51	T		1807		1807
FRIEDLAND		HERPIN JULIEN	GUILLEMENT	STM	40		2	2	40	T		1807		1807
FRIPONNE		BURTHIN	BOURSY JEUNE	HAV	27	1		3	34			1797		1797
FRIPONNE			BOURSY JEUNE	HAV	27	1		3	34			1798		
FRIPONNE			BOURSY JEUNE	HAV	27	1		3	34			1799		
FRIPONNE	G ET M		LACOMBE DAN	BOR	150	6			28	T		1799		
FURET		CARRIS PIERRE	CHOISNARD	BOU	52	6			46	T		1808		
FURET		VILLAIN	SENCE AINE	DIE					47	T		1808		
FURET		MALO GASPARD	EMMERY ET VANHEE	CAL	95	6			58			1810		
FURET		SOUVILLE TOM	GRISEZ JEAN	BOU	69	7			53		1	1811		1808
FURET		HURET GUILL	GRIMONPRE	BOU	60	6		5	69			1793		
FURET		REVEN LAUR	ALTAZIN	DUN	43	14			39	T		1793		
FURET		MARBAISSE THOS	LEFEVRE	DUN	10			2	13			1795		
FURET			GRIMONPRE	BOU	60	6		5	69			1796		
FURET		FAUGUEUX	GAUVAIN M	HAV	15	1			23	T		1796		1796
FURET		GIRON BENOIT	MARION FRERES DUG	NAN	150	14			48			1796		
FURET		LESCAN FRAN	GOURANE ET CIE	HAV	11	1						1796		1796
FURET		MARBAISSE THOS	LEFEVRE	DUN	10			2	13	T		1796		
FURET		PAULMIER		DUN				4	13			1796		
FURET		GEFFROY GILLES	BERNARD MARION DUG	NAN	160	16			73			1797		1797
FURET		GIRON BENOIT	MARION FRS DUGUEN	NAN	150	14			48	T		1797		
FURET		LE BILLET	GUILHOM AINE MART	PAI	68	4			44	T		1797		
FURET		LESCAN FRAN	GOURANE ET CIE	HAV	11	1						1797		1796
FURET		VIANSON	DUBOIS THEODORE	STM	10			4	16	T		1797		
FURET			BERNARD MARION DUG	NAN	160	16			73			1798		
FURET			GRIMONPRE	BOU	60	6		5	69		1	1798		
FURET		LEBEU TOUSS		DUN								1798		
FURET			BERNARD MARION DUG	NAN	160	16			73			1799		
FURET			GRIMONPRE	BOU	60	6		5	69			1799		
FURET		BOUVET LOUIS	MOULIN LAUR	STM	85	14			64	T		1799		
FURET		ROBINSON JOHN	BRISSET JEAN	BOU								1799		
FURET			BERNARD MARION DUG	NAN	160	16			73			1800		
FURET		GAUTIER	BERNARD JEUNE	NAN	170	14			77	T		1800		
FURET		OZANNE JEAN	LA FLOTTE LAMARQUE	BOR	83	14			64			1800		
FURET		CAVEZ JEAN	GRISET	BOU					32		1	1801		
FURET		LEFEBURE JEAN	DELPORTE FRERES	BOU	43	14		4	55			1801		
FURET		OZANNE JEAN	LA FLOTTE LAMARQUE	BOR	83	14			64	T		1801		
FURET		ROUTTIER NIC	DUJAT WALLET	BOU	26	2		2	34	T		1803		1803
FURET		CARRIS PIERRE	CHOISNARD	BOU	52	6			46			1807	1	
FURET		VILLAIN	SENCE AINE	DIE					47			1807	1	
FURET		ALTAZIN JACQ		BOU						T		1808		
FURET		MALO GASPARD	EMMERY ET VANHEE	CAL	95	6			58			1809	1	
FURET		MARANCOURT	POTIER HAREMBERT	STM	160	2	9		101			1810	1	1810
FURET		SOUVILLE TOM	GRISEZ JEAN	BOU	69	7			53		1	1810	1	1808
FURET				STR		4			17			1811		
FURET				DUN					65			1811		
FURET		BILLEMONT JN	BOULON PIERRE	DUN	91	10	4		73			1811	1	
