SHIPNAME	GETM	CAPTAINNAME	OWNER	PORT	TONNAGE	CANONS	CARRON	SWIVEL	CREW	CAPTURED/NOT	UNDOC_1	CRUISEYEAR	UNDOC_2	CONSTRUCTION_YEAR
AVENTURE		DUQUESNE	DUQUESNE BKLGUERIE	ROC		8			35	T		1809		1808
AVENTURE		LECONTE	PERIRE ET CARRIER	BOR	190	16			82	T	1	1809		1809
AVENTURE				CAL					15			1811		
AVENTURE		CALVO	MICHEL FRANCOIS	MAR	80					T		1812		
AVENTURE PRIZE		LA ROCHE R	ERUSSET ET MAUCRON	STM	50	14			42	T		1799		
AVENTURIER		GOUIRZON	CAPEL	STM	2				13			1797		
AVENTURIER		KEAD		LOR								1797		
AVENTURIER		LE CONIAT G	NICOL AINE	PAI	46	4			33			1797		
AVENTURIER		LE PRETRE FRAN	AUBER	FEC	40				11	T		1797		
AVENTURIER		LE CONIAT G	NICOL AINE	PAI	46	4			33	T		1798		
AVENTURIER		VILLAUBERT B	COULON ET	BRE	90	16			75		1	1799		
AVENTURIER		VILLAUBERT B	COULON ET	BRE	90	16			75	T		1800		
AVENTURIER		ZEPER	ERUSSARD MAUCRON	STM	119	14			67			1801		
AVENTURIER			HUGON	CAL								1808		
AVENTURIER			DUBOIS	CAL								1809		
AVENUS			LACOMBE FAURE	BOR						T		1803		
BAALGAD		LE CONTE FRAN	LESNARD DUHAMEL	STM	150	16			115			1799		
BAALGAD		LE CONTE FRAN	LESNARD DUHAMEL	STM	150	16			115			1800		1797
BADINE		RIBERTI	MARAGLIA FRAN	GEN										
BAGATELLE			POITERRI	MAR								1812		
BALGAAD		KPOISSON	NICOL ET LESNARD	STM	166	12			70			1798		1798
BALGAAD			NICOL ET LESNARD	STM	166	16			91			1799		1798
BAPTISTE		GAILLOT J		DUN					13			1793		
BAPTISTE		VANDEWALLE J		DUN	11			2	13			1793		
BARBIER DE SEVILLE		MAGOUET V	GRELIER GAB	NAN					208			1797		
BARBIER DE SEVILLE		MOREAU JACQ	GRELIER GAB	BAY					208		1	1798		
BARBIER DE SEVILLE		MOREAU JACQ	GRELIER GAB	BAY					82			1799		
BARBIER DE SEVILLE		BRUNET FRANCOIS	DELPORTE FR DUPONT	CAL								1809	1	
BARBIER DE SEVILLE		BRUNET FRANCOIS	DELPORTE FR DUPONT	CAL								1810		
BARRAS		FROMENTIN JN	EMMERY ET VANHEE	OST	70	14			57			1798		
BARRAS		FROMENTIN JN	EMMERY ET VANHEE	OST	70	14			57	T		1799		
BARRIERE		GAVI PRE	GAVIE JN	COR	7	1			24			1798		
BARRIERE		MONTI JN	MONTI BERNARD	LEG		1		2	18			1798		
BARRIERE		GAVI JN	DAMARINI A	CAP								1800		
BASQUE		LAXALDE PRE	BARDOITRE	STJ						T		1799		
BAYONNAIS		LASSERRE JN	PAYLO JN	BAY	45	6			24			1797		
BAYONNAIS		BOULANGER	PECHE	BAY	80	14			40			1799		
BEAU NOIR		DENNIS FRANCOIS	BASTERRECHE FR CIE	BAY					14			1813		
BECASSIVE		GRESELL	AUDIBERT LEVEUX	CAL						T		1810		
BELLE ANGELIQUE		LAURENT NIC	COURVREUR COURSEAV	HAV	8				17	T		1796		
BELLE ETOILE	G ET M		DODERO	MAR	307	11						1809		
BELLE GENOISE				GEN		4			69			1811		
BELLIQUEUSE		DE LA MASSUERE	MARION FRS DUGUEN	STM	280	14	4		126		1	1797		
BELLIQUEUSE		DE LA MASSUERE	MARION FRS DUGUEN	STM	280	14	4		126	T	1	1798		
BELLONE		SEILLE J		DUN								1796		
BELLONE		BLANCKEMAN ET		DUN	200	28			93			1801		
BELLONNE		PERROU	CONTE AUDIBERT	BOR		24			254			1801		
BELLONNE		PERRAUD J	CONTE JACQUES	BOR					156			1803		
BENJAMIN		ANDRAU JN							110	T		1798		
BETSEY		LOUIS FRAN							88	T		1796		
BETSEY		PATROUILLEAU	AUDINES	BOR	200	16			118			1797		
BETSEY		PATROUILLEAU	AUDINES	BOR	200	16			118	T		1798		
BIEN AIMEE		REBUFFA JOS	CECCONI ANT	COR	101	6		9	12			1797		
BIEN INFORME		ROBERTSON JN	GRISET	BOU					28			1800		
BIENVENU		FREMONT		DUN					21			1793		
BIENVENU		LAMOUR ANT		DUN					21			1794		
BIENVENU			FOUBE LORQUET	CAL								1796		
BIENVENU		LEEUW	DUROSSET MEUNIER	BOU	55	14			33			1800		
BIENVENU		LEEUW	DUROSSET MEUNIER	BOU	55	14			33	T		1801		
BISCAYENNE		BOTRELLE JEAN	SURCOUF ROBERT	STM	12				23			1810		1810
BLONDE			GRAMMOND CHARIOT	BOR		30			260			1801		
BLONDE		AREGNAUDEAU FR	CHEGARAY GRAMONT	BAY	550	30			168	T		1804		
BOHEMIENNE		DAGUENET MICH	PROTET ET CIE	STM	20	1			23			1806	1	1803
BOHEMIENNE		DAGUENET MICH	PROTET ET CIE	STM	20	1			23			1806		1803
BOHEMIENNE		GAUTIER JEAN	PROTET	STM	45	2			44	T		1807		1807
BON AMI		ROUSSEAU MATTH		DUN								1812		
BON CITOYEN		HAIGNERE JEAN		DUN					16			1793		
BON CITOYEN		CADEVILLE BERN	DESLANDES NIC	GRA	130	11			60	T		1798		1782
BON GENIE		HENIN PIERRE	CASTINEL	BOU	78	16			61			1810	1	
BON GENIE		DELPIERRE	CASTINEL	BOU	77	16			60		1	1811		1809
BON GENIE		HENIN PIERRE	CASTINEL	BOU	78	16			61			1811		
BON GENIE		PICQUENDAIRE	FOUBE	BOU								1813		
