"year","colonies","france"
1740,"Reunion",0
1741,"Reunion",0
1742,"Reunion",0
1743,"Reunion",0
1744,"Reunion",0
1745,"Reunion",0
1746,"Reunion",0
1747,"Reunion",0
1748,"Reunion",0
1749,"Reunion",0
1750,"Reunion",0
1751,"Reunion",0
1752,"Reunion",0
1753,"Reunion",0
1754,"Reunion",0
1755,"Reunion",0
1756,"Reunion",0
1757,"Reunion",0
1758,"Reunion",0
1759,"Reunion",0
1760,"Reunion",0
1761,"Reunion",0
1762,"Reunion",0
1763,"Reunion",0
1764,"Reunion",0
1765,"Reunion",0
1766,"Reunion",0
1767,"Reunion",0
1768,"Reunion",0
1769,"Reunion",0
1770,"Reunion",0
1771,"Reunion",0
1772,"Reunion",0
1773,"Reunion",0
1774,"Reunion",0
1775,"Reunion",0
1776,"Reunion",0
1777,"Reunion",0
1778,"Reunion",0
1779,"Reunion",0
1780,"Reunion",0
1781,"Reunion",0
1782,"Reunion",0
1783,"Reunion",0
1784,"Reunion",0
1785,"Reunion",0
1786,"Reunion",0
1787,"Reunion",0
1788,"Reunion",0
1789,"Reunion",0
1790,"Reunion",0
1791,"Reunion",0
1792,"Reunion",0
1793,"Reunion",0
1794,"Reunion",0
1795,"Reunion",0
1796,"Reunion",0
1797,"Reunion",0
1798,"Reunion",0
1799,"Reunion",0
1800,"Reunion",0
1801,"Reunion",0
1802,"Reunion",0
1803,"Reunion",0
1804,"Reunion",0
1805,"Reunion",0
1806,"Reunion",0
1807,"Reunion",0
1808,"Reunion",0
1809,"Reunion",0
1810,"Reunion",0
1811,"Reunion",0
1812,"Reunion",0
1813,"Reunion",0
1814,"Reunion",0
1815,"Reunion",0
1816,"Reunion",0
1817,"Reunion",0
1818,"Reunion",0
1819,"Reunion",0
1820,"Reunion",0
1700,"Inde",0
1701,"Inde",0
1702,"Inde",0
1703,"Inde",0
1704,"Inde",0
1705,"Inde",0
1706,"Inde",0
1707,"Inde",0
1708,"Inde",0
1709,"Inde",0
1710,"Inde",0
1711,"Inde",0
1712,"Inde",0
1713,"Inde",0
1714,"Inde",0
1715,"Inde",0
1716,"Inde",0
1717,"Inde",0
1718,"Inde",0
1719,"Inde",0
1720,"Inde",0
1721,"Inde",0
1722,"Inde",0
1723,"Inde",0
1724,"Inde",0
1725,"Inde",0
1726,"Inde",0
1727,"Inde",0
1728,"Inde",0
1729,"Inde",0
1730,"Inde",0
1731,"Inde",0
1732,"Inde",0
1733,"Inde",0
1734,"Inde",0
1735,"Inde",0
1736,"Inde",0
1737,"Inde",0
1738,"Inde",0
1739,"Inde",0
1740,"Inde",0
1741,"Inde",0
1742,"Inde",0
1743,"Inde",0
1744,"Inde",0
1745,"Inde",0
1746,"Inde",0
1747,"Inde",0
1748,"Inde",0
1749,"Inde",0
1750,"Inde",0
1751,"Inde",0
1752,"Inde",0
1753,"Inde",0
1754,"Inde",0
1755,"Inde",0
1756,"Inde",0
1757,"Inde",0
1758,"Inde",0
1759,"Inde",0
1760,"Inde",0
1761,"Inde",0
1762,"Inde",0
1763,"Inde",0
1764,"Inde",0
1765,"Inde",0
1766,"Inde",0
1767,"Inde",0
1768,"Inde",0
1769,"Inde",0
1770,"Inde",0
1771,"Inde",0
1772,"Inde",0
1773,"Inde",0
1774,"Inde",0
1775,"Inde",0
1776,"Inde",0
1777,"Inde",0
