"reporting","partner","partner type","year","import","export","total","currency","source"
"France","ChinaPeople'sRepublicofChina_CochinChina_Oceania",,1857,5200000,4800000,10000000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","ColombiaGranColombia",,1857,1200000,5600000,6800000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Denmark",,1857,1000000,2200000,3200000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Ecuador",,1857,400000,900000,1300000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","EgyptUnitedArabRepublic",,1857,29600000,12700000,42300000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","FrenchGuyana",,1857,600000,3800000,4400000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","FrenchIndia",,1857,15200000,800000,16000000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","GermanyZollverein",,1857,120900000,119000000,239900000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Greece",,1857,5100000,7200000,12300000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Guadeloupe",,1857,16100000,17700000,33800000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Guatemala",,1857,2200000,700000,2900000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Haiti",,1857,13500000,6300000,19800000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","India",,1857,75200000,6900000,82100000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","IndonesiaDutchEastIndies",,1857,14200000,2400000,16600000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Italy",,1857,161000000,128800000,289800000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Martinique",,1857,22900000,19700000,42600000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
