
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="",="(-0.70)",="(-0.29)",="",="(0.31)",="(0.31)"

="Portugal # Eau de vie",="",="-70.75",="-52.22",="",="415.9*",="426.6*"
="",="",="(-1.14)",="(-0.84)",="",="(2.27)",="(2.32)"

="Portugal # Other",="",="-141.5*",="-116.6",="",="113.5",="112.1"
="",="",="(-2.29)",="(-1.88)",="",="(0.62)",="(0.61)"

="Portugal # Sugar",="",="-31.41",="-5.744",="",="597.0**",="601.0**"
="",="",="(-0.50)",="(-0.09)",="",="(3.14)",="(3.15)"

="Portugal # Wine",="",="-51.17",="-27.10",="",="906.2***",="905.9***"
="",="",="(-0.83)",="(-0.44)",="",="(4.95)",="(4.94)"

="Suisse # Coffee",="",="-35.97",="-30.94",="",="-37.17",="-37.17"
="",="",="(-0.58)",="(-0.50)",="",="(-0.60)",="(-0.60)"

="Suisse # Eau de vie",="",="-126.9*",="-121.5*",="",="298.7",="312.8"
="",="",="(-2.08)",="(-1.99)",="",="(1.63)",="(1.71)"

="Suisse # Other",="",="-103.1",="-97.67",="",="92.98",="91.59"
="",="",="(-1.69)",="(-1.60)",="",="(0.51)",="(0.50)"

="Suisse # Sugar",="",="85.05",="89.69",="",="647.1***",="651.0***"
="",="",="(1.38)",="(1.45)",="",="(3.40)",="(3.42)"

="Suisse # Wine",="",="-143.5*",="-138.1*",="",="755.9***",="756.2***"
="",="",="(-2.36)",="(-2.26)",="",="(4.14)",="(4.13)"

="États-Unis d'Amérique # Coffee",="",="-549.4**",="-546.3**",="",="-512.2*",="-532.3**"
="",="",="(-2.76)",="(-2.74)",="",="(-2.56)",="(-2.66)"

="États-Unis d'Amérique # Eau de vie",="",="-480.8**",="-479.1**",="",="0",="0"
="",="",="(-2.64)",="(-2.62)",="",="(.)",="(.)"

="États-Unis d'Amérique # Other",="",="-281.3",="-279.6",="",="0",="0"
="",="",="(-1.55)",="(-1.53)",="",="(.)",="(.)"

="États-Unis d'Amérique # Sugar",="",="-549.0**",="-547.8**",="",="0",="0"
="",="",="(-2.91)",="(-2.89)",="",="(.)",="(.)"

="États-Unis d'Amérique # Wine",="",="-976.0***",="-974.3***",="",="0",="0"
="",="",="(-5.36)",="(-5.34)",="",="(.)",="(.)"

="Allemagne # Coffee # year",="",="-0.0558*",="-0.0499*",="",="-0.0522*",="-0.0504*"
="",="",="(-2.25)",="(-2.00)",="",="(-2.06)",="(-1.99)"

="Allemagne # Eau de vie # year",="",="-0.00401",="0.00149",="",="0.0137",="0.0139"
="",="",="(-0.17)",="(0.06)",="",="(0.55)",="(0.56)"

="Allemagne # Other # year",="",="0.0336",="0.0391",="",="0.0448",="0.0435"
="",="",="(1.39)",="(1.61)",="",="(1.82)",="(1.77)"

="Allemagne # Sugar # year",="",="-0.0198",="-0.0138",="",="-0.00944",="-0.00811"
="",="",="(-0.80)",="(-0.55)",="",="(-0.37)",="(-0.32)"

="Allemagne # Wine # year",="",="-0.00887",="-0.00336",="",="0.00139",="-0.000704"
="",="",="(-0.37)",="(-0.14)",="",="(0.06)",="(-0.03)"

="Angleterre # Coffee # year",="",="-0.0716**",="-0.0758**",="",="-0.0939***",="-0.0901***"
="",="",="(-2.80)",="(-2.95)",="",="(-3.62)",="(-3.47)"

="Angleterre # Eau de vie # year",="",="-0.0740**",="-0.0797**",="",="-0.0846***",="-0.0830**"
="",="",="(-2.94)",="(-3.15)",="",="(-3.32)",="(-3.25)"

="Angleterre # Other # year",="",="-0.0269",="-0.0334",="",="-0.0449",="-0.0454"
="",="",="(-1.09)",="(-1.35)",="",="(-1.80)",="(-1.82)"

="Angleterre # Sugar # year",="",="-0.118***",="-0.122***",="",="-0.131***",="-0.130***"
="",="",="(-4.63)",="(-4.74)",="",="(-5.04)",="(-5.02)"

="Angleterre # Wine # year",="",="-0.0573*",="-0.0628*",="",="-0.0748**",="-0.0745**"
="",="",="(-2.27)",="(-2.48)",="",="(-2.92)",="(-2.91)"

="Espagne # Coffee # year",="",="-0.0148",="-0.0213",="",="-0.0301",="-0.0283"
="",="",="(-0.61)",="(-0.87)",="",="(-1.21)",="(-1.14)"

="Espagne # Eau de vie # year",="",="-0.0251",="-0.0314",="",="-0.0255",="-0.0253"
="",="",="(-1.03)",="(-1.29)",="",="(-1.04)",="(-1.03)"

="Espagne # Other # year",="",="0.0432",="0.0369",="",="0.0363",="0.0350"
="",="",="(1.78)",="(1.52)",="",="(1.48)",="(1.42)"

="Espagne # Sugar # year",="",="0.00785",="0.00153",="",="-0.000874",="0.000366"
="",="",="(0.32)",="(0.06)",="",="(-0.04)",="(0.01)"

="Espagne # Wine # year",="",="0.0627**",="0.0563*",="",="0.0548*",="0.0527*"
="",="",="(2.59)",="(2.32)",="",="(2.23)",="(2.14)"

="Flandre et autres états de l'Empereur # Coffee # year",="",="-0.166***",="-0.166***",="",="-0.179***",="-0.175***"
="",="",="(-6.13)",="(-6.13)",="",="(-6.49)",="(-6.36)"

="Flandre et autres états de l'Empereur # Eau de vie # year",="",="-0.114***",="-0.115***",="",="-0.114***",="-0.111***"
="",="",="(-4.51)",="(-4.53)",="",="(-4.42)",="(-4.34)"

="Flandre et autres états de l'Empereur # Other # year",="",="0.0104",="0.00619",="",="0.00311",="0.00188"
="",="",="(0.43)",="(0.25)",="",="(0.13)",="(0.08)"

="Flandre et autres états de l'Empereur # Sugar # year",="",="-0.210***",="-0.213***",="",="-0.217***",="-0.217***"
="",="",="(-7.72)",="(-7.81)",="",="(-7.89)",="(-7.85)"

="Flandre et autres états de l'Empereur # Wine # year",="",="-0.137***",="-0.138***",="",="-0.143***",="-0.143***"
