
="Hollande # year",="0.00946***",="0.00976***",="0.00949***"
="",="(5.04)",="(5.22)",="(4.97)"

="Italie # year",="0.0107***",="0.0110***",="0.0111***"
="",="(4.89)",="(4.95)",="(4.87)"

="Levant et Barbarie # year",="-0.00443",="-0.00427",="-0.00426"
="",="(-1.82)",="(-1.73)",="(-1.70)"

="Nord # year",="0.0125***",="0.0133***",="0.0137***"
="",="(6.19)",="(6.98)",="(7.53)"

="Portugal # year",="0.00853***",="0.00853***",="0.00854***"
="",="(3.44)",="(3.44)",="(3.44)"

="Suisse # year",="0.0247***",="0.0252***",="0.0252***"
="",="(14.96)",="(15.04)",="(14.91)"

="États-Unis d'Amérique # year",="0.0601***",="0.0602***",="0.0602***"
="",="(5.58)",="(5.58)",="(5.58)"

="Coffee # year",="0.000558",="0.0362***",="0.0361***"
="",="(0.09)",="(8.25)",="(8.23)"

="Eau de vie # year",="0.00148",="0.00132",="0.00131"
="",="(0.40)",="(0.36)",="(0.36)"

="Sugar # year",="-0.00872**",="-0.00911**",="0.0113**"
="",="(-3.01)",="(-3.17)",="(3.23)"

="Wine # year",="0.0103***",="0.0101***",="0.0101***"
="",="(4.53)",="(4.44)",="(4.43)"

="Other # year",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Adversary Coffee",="-0.870*",="-0.448",="-0.452"
="",="(-2.04)",="(-0.63)",="(-0.64)"

="Adversary Eau de vie",="0.416",="0.417",="0.417"
="",="(1.10)",="(1.10)",="(1.10)"

="Adversary Sugar",="-0.877***",="-0.877***",="-0.377"
="",="(-3.73)",="(-3.74)",="(-1.93)"

="Adversary Wine",="0.308",="0.311",="0.310"
="",="(1.90)",="(1.92)",="(1.91)"

="Adversary Other",="-0.208",="-0.207",="-0.207"
="",="(-1.70)",="(-1.69)",="(-1.69)"

="Allied Coffee",="-0.165",="0.444",="0.445"
="",="(-0.51)",="(1.55)",="(1.55)"

="Allied Eau de vie",="0.475",="0.473",="0.473"
="",="(1.55)",="(1.54)",="(1.55)"

="Allied Sugar",="-0.383",="-0.385",="0.223"
="",="(-1.18)",="(-1.19)",="(0.68)"

="Allied Wine",="0.359*",="0.358*",="0.359*"
="",="(2.21)",="(2.19)",="(2.20)"

="Allied Other",="0.0706",="0.0700",="0.0701"
="",="(0.60)",="(0.60)",="(0.60)"

="Neutral Coffee",="-1.817***",="-1.156***",="-1.155***"
="",="(-7.58)",="(-7.29)",="(-7.29)"

="Neutral Eau de vie",="0.498**",="0.497**",="0.495**"
="",="(3.19)",="(3.19)",="(3.18)"

="Neutral Sugar",="-0.868***",="-0.870***",="-0.761***"
="",="(-5.00)",="(-5.01)",="(-4.96)"

="Neutral Wine",="0.00554",="0.00510",="0.00446"
="",="(0.02)",="(0.02)",="(0.01)"

="Neutral Other",="0.0277",="0.0298",="0.0298"
="",="(0.20)",="(0.21)",="(0.21)"

="coffee=0 # Afrique",="",="0",="0"
="",="",="(.)",="(.)"

="coffee=0 # Allemagne et Pologne (par terre)",="",="251.0",="251.4"
="",="",="(1.43)",="(1.43)"

="coffee=0 # Angleterre",="",="254.3",="254.7"
="",="",="(1.45)",="(1.45)"

="coffee=0 # Colonies françaises",="",="0",="0"
="",="",="(.)",="(.)"

="coffee=0 # Espagne",="",="253.6",="254.0"
="",="",="(1.44)",="(1.45)"

="coffee=0 # Flandre et autres états de l'Empereur",="",="254.8",="255.1"
="",="",="(1.45)",="(1.45)"

="coffee=0 # Hollande",="",="255.4",="255.8"
="",="",="(1.45)",="(1.45)"

="coffee=0 # Italie",="",="255.1",="255.5"
="",="",="(1.45)",="(1.45)"

="coffee=0 # Levant et Barbarie",="",="254.8",="255.2"
="",="",="(1.45)",="(1.45)"

="coffee=0 # Nord",="",="257.3",="257.7"
="",="",="(1.46)",="(1.46)"

="coffee=0 # Portugal",="",="252.5",="252.9"
="",="",="(1.44)",="(1.45)"

="coffee=0 # Suisse",="",="253.0",="253.4"
="",="",="(1.44)",="(1.44)"

="coffee=0 # États-Unis d'Amérique",="",="253.6",="254.0"
="",="",="(1.44)",="(1.45)"

="coffee=1 # Afrique",="",="0",="0"
="",="",="(.)",="(.)"

="coffee=1 # Allemagne et Pologne (par terre)",="",="0",="0"
="",="",="(.)",="(.)"

="coffee=1 # Angleterre",="",="0",="0"
="",="",="(.)",="(.)"

="coffee=1 # Colonies françaises",="",="0",="0"
="",="",="(.)",="(.)"

="coffee=1 # Espagne",="",="0",="0"
="",="",="(.)",="(.)"

="coffee=1 # Flandre et autres états de l'Empereur",="",="0",="0"
="",="",="(.)",="(.)"

="coffee=1 # Hollande",="",="0",="0"
="",="",="(.)",="(.)"

="coffee=1 # Italie",="",="0",="0"
="",="",="(.)",="(.)"

="coffee=1 # Levant et Barbarie",="",="0",="0"
="",="",="(.)",="(.)"

="coffee=1 # Nord",="",="0",="0"
="",="",="(.)",="(.)"

="coffee=1 # Portugal",="",="0",="0"
="",="",="(.)",="(.)"

="coffee=1 # Suisse",="",="0",="0"
="",="",="(.)",="(.)"

="coffee=1 # États-Unis d'Amérique",="",="0",="0"
="",="",="(.)",="(.)"

="coffee=0 # year_class1",="",="0",="0"
="",="",="(.)",="(.)"

="coffee=1 # year_class1",="",="0.138",="0.138"
="",="",="(1.42)",="(1.43)"

="sugar=0 # Afrique",="",="",="0"
="",="",="",="(.)"

="sugar=0 # Allemagne et Pologne (par terre)",="",="",="-9.852"
="",="",="",="(-0.21)"

="sugar=0 # Angleterre",="",="",="-7.093"
="",="",="",="(-0.15)"

="sugar=0 # Colonies françaises",="",="",="-11.36"
="",="",="",="(-0.24)"

="sugar=0 # Espagne",="",="",="-8.318"
="",="",="",="(-0.18)"

="sugar=0 # Flandre et autres états de l'Empereur",="",="",="-6.903"
="",="",="",="(-0.15)"

="sugar=0 # Hollande",="",="",="-4.985"
="",="",="",="(-0.11)"

="sugar=0 # Italie",="",="",="-6.818"
="",="",="",="(-0.15)"

="sugar=0 # Levant et Barbarie",="",="",="-8.023"
="",="",="",="(-0.17)"

="sugar=0 # Nord",="",="",="-6.087"
="",="",="",="(-0.13)"

="sugar=0 # Portugal",="",="",="-7.824"
="",="",="",="(-0.17)"

="sugar=0 # Suisse",="",="",="-8.896"
="",="",="",="(-0.19)"

="sugar=0 # États-Unis d'Amérique",="",="",="-9.066"
="",="",="",="(-0.19)"

="sugar=1 # Afrique",="",="",="0"
="",="",="",="(.)"

="sugar=1 # Allemagne et Pologne (par terre)",="",="",="0"
="",="",="",="(.)"

="sugar=1 # Angleterre",="",="",="0"
="",="",="",="(.)"

="sugar=1 # Colonies françaises",="",="",="0"
="",="",="",="(.)"

="sugar=1 # Espagne",="",="",="0"
="",="",="",="(.)"

="sugar=1 # Flandre et autres états de l'Empereur",="",="",="0"
="",="",="",="(.)"

="sugar=1 # Hollande",="",="",="0"
="",="",="",="(.)"

="sugar=1 # Italie",="",="",="0"
="",="",="",="(.)"

="sugar=1 # Levant et Barbarie",="",="",="0"
="",="",="",="(.)"

="sugar=1 # Nord",="",="",="0"
="",="",="",="(.)"

="sugar=1 # Portugal",="",="",="0"
="",="",="",="(.)"

