
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="Wine # Mercantilist_War # year_of_war",="",="",="",="0.0395*",="0.0480",=""
="",="",="",="",="(2.33)",="(1.64)",=""

="Coffee",="",="",="",="0",="",=""
="",="",="",="",="(.)",="",=""

="Eau de vie",="",="",="",="130.9***",="",=""
="",="",="",="",="(50.52)",="",=""

="Other",="",="",="",="79.87***",="",=""
="",="",="",="",="(46.04)",="",=""

="Sugar",="",="",="",="33.04***",="",=""
="",="",="",="",="(14.17)",="",=""

="Wine",="",="",="",="83.52***",="",=""
="",="",="",="",="(30.11)",="",=""

="Coffee # year",="",="",="",="0.0564***",="",=""
="",="",="",="",="(58.74)",="",=""

="Eau de vie # year",="",="",="",="-0.0167***",="",=""
="",="",="",="",="(-15.41)",="",=""

="Other # year",="",="",="",="0.0138***",="",=""
