
="coffee=0 # Angleterre",="",="0.109",="-0.0805"
="",="",="(0.17)",="(-0.13)"

="coffee=0 # Colonies françaises",="",="5.062***",="5.069***"
="",="",="(11.40)",="(11.45)"

="coffee=0 # Espagne",="",="1.944*",="1.668*"
="",="",="(2.56)",="(2.20)"

="coffee=0 # Flandre et autres états de l'Empereur",="",="4.190***",="4.080***"
="",="",="(4.61)",="(4.58)"

="coffee=0 # Hollande",="",="-2.904**",="-3.275***"
="",="",="(-3.28)",="(-3.67)"

="coffee=0 # Italie",="",="-0.918",="-1.109"
="",="",="(-1.06)",="(-1.30)"

="coffee=0 # Levant et Barbarie",="",="6.011***",="5.811***"
="",="",="(8.26)",="(7.99)"

="coffee=0 # Nord",="",="-2.068*",="-2.342**"
="",="",="(-2.51)",="(-2.86)"

="coffee=0 # Portugal",="",="0.349",="0.150"
="",="",="(0.43)",="(0.19)"

="coffee=0 # Suisse",="",="-2.716**",="-2.849**"
="",="",="(-2.80)",="(-3.01)"

="coffee=0 # États-Unis d'Amérique",="",="0",="0"
="",="",="(.)",="(.)"

="sugar=0 # Afrique",="",="",="0"
="",="",="",="(.)"

="sugar=0 # Allemagne et Pologne (par terre)",="",="",="0.799"
="",="",="",="(0.61)"

="sugar=0 # Angleterre",="",="",="-0.145"
="",="",="",="(-0.21)"

="sugar=0 # Colonies françaises",="",="",="4.007***"
="",="",="",="(7.68)"

="sugar=0 # Espagne",="",="",="-0.244"
="",="",="",="(-0.32)"

="sugar=0 # Flandre et autres états de l'Empereur",="",="",="1.759*"
="",="",="",="(2.02)"

="sugar=0 # Hollande",="",="",="-2.903**"
="",="",="",="(-2.63)"

="sugar=0 # Italie",="",="",="-2.731*"
="",="",="",="(-2.04)"

="sugar=0 # Levant et Barbarie",="",="",="3.070***"
="",="",="",="(3.76)"

="sugar=0 # Nord",="",="",="-0.602"
="",="",="",="(-0.78)"

="sugar=0 # Portugal",="",="",="-2.552*"
="",="",="",="(-2.02)"

="sugar=0 # Suisse",="",="",="-4.536**"
="",="",="",="(-3.08)"

="sugar=0 # États-Unis d'Amérique",="",="",="0"
="",="",="",="(.)"

="sugar=0 # year_class3",="",="",="0"
="",="",="",="(.)"

="Constant",="-315.8***",="-315.8***",="-315.8***"
="",="(-3.32)",="(-3.32)",="(-3.32)"

="Observations",="15372",="15372",="15372"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
