
="",="(-2.71)",="(-4.95)",="(-2.69)",="(-4.97)",="(3.18)",="(2.70)"

="Suisse # European foodstuff and beverage",="-8.210",="-11.23*",="-8.050",="-11.29*",="37.50***",="37.76***"
="",="(-1.42)",="(-1.96)",="(-1.39)",="(-1.98)",="(7.99)",="(7.99)"

="Suisse # Other",="-5.619",="-8.651",="-6.383",="-9.667",="48.34***",="48.84***"
="",="(-0.76)",="(-1.18)",="(-0.86)",="(-1.33)",="(7.50)",="(7.56)"

="Suisse # Plantation foodstuff",="-18.22",="34.22",="-18.87",="32.90",="27.89***",="4.202"
="",="(-1.64)",="(1.86)",="(-1.72)",="(1.73)",="(3.66)",="(0.38)"

="Suisse # Raw mat fuel oils",="-7.389",="-9.718",="-7.652",="-10.24",="35.44***",="36.17***"
="",="(-1.15)",="(-1.54)",="(-1.19)",="(-1.62)",="(6.33)",="(6.49)"

="Suisse # Textile manuf",="11.55",="8.495",="11.39",="8.003",="54.24***",="54.47***"
="",="(1.90)",="(1.42)",="(1.87)",="(1.34)",="(8.88)",="(8.94)"

="Suisse # Various manuf",="-11.59",="-14.67*",="-11.99",="-15.28*",="39.13***",="41.35***"
="",="(-1.75)",="(-2.24)",="(-1.80)",="(-2.33)",="(6.82)",="(7.16)"

="Angleterre # year",="0.0171***",="0.0154***",="0.0172***",="0.0155***",="0.0147***",="0.0123***"
="",="(6.56)",="(5.96)",="(6.57)",="(6.02)",="(5.68)",="(4.66)"

="Espagne # year",="0.00523*",="0.00547*",="0.00530*",="0.00557*",="0.00205",="0.000430"
="",="(2.16)",="(2.50)",="(2.18)",="(2.55)",="(0.74)",="(0.16)"

="Flandre et autres états de l'Empereur # year",="0.0130***",="0.0135***",="0.0130***",="0.0137***",="0.00997**",="0.00907**"
="",="(3.73)",="(3.83)",="(3.70)",="(3.89)",="(2.88)",="(2.61)"

="Hollande # year",="0.0234***",="0.0248***",="0.0233***",="0.0248***",="0.0209***",="0.0193***"
="",="(11.99)",="(13.73)",="(11.64)",="(13.69)",="(11.81)",="(12.00)"

="Italie # year",="0.0225***",="0.0228***",="0.0225***",="0.0228***",="0.0188***",="0.0179***"
="",="(12.48)",="(12.54)",="(12.33)",="(12.44)",="(10.73)",="(10.20)"

="Levant et Barbarie # year",="0.00641**",="0.00694**",="0.00640**",="0.00697**",="0.00231",="0.00154"
="",="(2.93)",="(3.15)",="(2.88)",="(3.13)",="(1.07)",="(0.71)"

="Nord # year",="0.0193***",="0.0178***",="0.0192***",="0.0179***",="0.0167***",="0.0142***"
="",="(8.76)",="(8.14)",="(8.62)",="(8.15)",="(7.69)",="(6.43)"

="Portugal # year",="0.0278***",="0.0356***",="0.0276***",="0.0356***",="0.0245***",="0.0275***"
="",="(6.83)",="(9.55)",="(6.66)",="(9.49)",="(6.09)",="(7.34)"

="Suisse # year",="0.0210***",="0.0210***",="0.0209***",="0.0211***",="0.0175***",="0.0165***"
